trial_number,timestamp,condition,events_in_run,flip_times,trial_timestamp
1,81.67936166699656,RING,46,15.626999457999773;17.631673292002233;19.635811374995683;21.6404859999966;23.64558954200038;25.65149633299734;27.655815833000815;29.659832124998502;31.664095874999475;33.66894212499756;35.673012582999945;37.67710608299967,81.6792221249998
2,148.7368887499979,RING,90,82.6884068329964;84.69261841700063;86.69746754199878;88.70084762499755;90.705560082999;92.7091656670018;94.71393216699653;96.71722087499802;98.72218741699908;100.72561520800082;102.73079320800025;104.73439566700108,148.73675512499904
3,215.79808812499687,RING,134,149.74586324999837;151.75061033300153;153.7554414999977;155.7600301249986;157.7646510420018;159.7698680829999;161.77481024999724;163.77936816700094;165.78367770800105;167.7879327499977;169.79202270799578;171.7957305000018,215.7979758750007
4,282.85810225000023,RING,178,216.808420207999;218.81335420799587;220.81706637499883;222.8205360829961;224.82496370800072;226.8298895830012;228.8337937920005;230.8375039579987;232.8421253330016;234.84675229199638;236.8515069999994;238.85569374999614,282.857964625
5,349.91223275000084,RING,222,283.8671637919979;285.87139362499875;287.87544229199557;289.87929670800077;291.8831291250026;293.88724266699865;295.8911040000021;297.89461779200064;299.89818150000065;301.90162037499977;303.9056569579989;305.9098937500021,349.9120987080023
6,422.97546170799615,SECTOR,269,350.92136879199825;352.92586804200255;354.93025620799745;356.9345885829971;358.93887045799784;360.9435665830024;362.94786758299597;364.95242745799624;366.95691712499683;368.9613607919964;370.9657604169988;372.96964487499645;374.9732098329987,422.9753317079958
7,496.04177108300064,SECTOR,316,423.9844977920002;425.98937654199835;427.99430516699795;429.998829791999;432.0032488750003;434.0079813330012;436.012519625001;438.0168557500001;440.0213069169986;442.0258762500016;444.03056070800085;446.03490708299796;448.03923908300203,496.04164279199904
8,569.0984905000005,SECTOR,363,497.050114083002;499.0540668329995;501.0577935420006;503.0617457920016;505.0657615000018;507.06963679199544;509.0734568330008;511.07705016699765;513.0806886669961;515.0847041669986;517.0886312079965;519.0925262500023;521.0959756250013,569.0983589579992
9,642.1558205420006,SECTOR,410,570.1072440829957;572.1114484999998;574.1153667499966;576.1192213749964;578.1230419580024;580.1270414999963;582.1308861669968;584.1346832080017;586.1384997080022;588.1422261249973;590.146205457997;592.1497214170013;594.153488416996,642.1557140419973
10,715.2363197910017,SECTOR,457,643.1729974580012;645.1767697499963;647.1803926669963;649.1840025420024;651.1876731669981;653.1925724999965;655.1985745420025;657.2033413329991;659.2080988750022;661.2124672079954;663.2173777499993;665.2224706249981;667.2331882489962,715.2361729990007
