trial_number,timestamp,condition,events_in_run,flip_times,trial_timestamp
1,120.33775729202898,RING,46,54.26870166702429;56.27474325004732;58.28069675003644;60.28800070803845;62.294140625046566;64.29992958303774;66.30624525004532;68.31220020801993;70.3177533330163;72.32412600005046;74.32974970800569;76.3350015830365,120.33730620803544
2,187.41493374999845,RING,90,121.34789241704857;123.35364141705213;125.35971729201265;127.3654215830029;129.3715568750049;131.37739054200938;133.38328333303798;135.38878950005164;137.39433054201072;139.40047904202947;141.4063699580147;143.41247645800468,187.41467004205333
3,254.49138858303195,RING,134,188.42516025004443;190.4302577500348;192.43623354204465;194.44219429203076;196.44863070803694;198.4545661250013;200.46053966705222;202.46608650003327;204.47173008305253;206.47758033301216;208.48335891700117;210.48918425000738,254.4912176670041
4,321.5682652500109,RING,178,255.50118683301844;257.50710691703716;259.51301995804533;261.5191992500331;263.5248386670137;265.5307875830331;267.53682066703914;269.5424570830073;271.54853100003675;273.5541922500124;275.5600403750432;277.565912375052,321.5680086670327
5,388.654360458022,RING,222,322.57819383300375;324.5833744580159;326.5898608750431;328.59609016700415;330.6076852080296;332.61426300002495;334.62095091701485;336.6274019580451;338.63418766704854;340.6403640000499;342.6460916250362;344.6519684170489,388.6541560830083
6,461.7352847920265,SECTOR,269,389.66477995802416;391.66949200001545;393.67497429205105;395.68101679201936;397.6865747080301;399.69279600004666;401.6986344580073;403.70422812504694;405.71027570799924;407.71588908304693;409.72208466700977;411.7277093330049;413.73285000002943,461.73504979204154
7,534.8173306670506,SECTOR,316,462.7458085420076;464.7512440000428;466.7571155000478;468.762652458041;470.7682581249974;472.77433625003323;474.78038500004914;476.7864194170106;478.791972542007;480.7974528330378;482.80350020801416;484.8090685000061;486.8148091250332,534.817027458048
8,607.8976397080114,SECTOR,363,535.8272563330247;537.8323802080122;539.8382405000157;541.8442426670226;543.8500834170263;545.855851750006;547.8612677080091;549.8671019580215;551.872617667017;553.878424708033;555.8841076250537;557.889656083018;559.8953228330356,607.8973999170121
9,680.9785449170158,SECTOR,410,608.9074814170017;610.9134265420143;612.91894266702;614.9249760420062;616.9305001250468;618.9362648750539;620.9422973330365;622.9478004170232;624.9537018330302;626.9594362500357;628.9652285000193;630.9710225830204;632.9761370830238,680.9783713330398
10,754.0597295000334,SECTOR,457,681.9883174580173;683.9930592500023;685.9994629170396;688.0058849170455;690.0114167919965;692.0176249170327;694.0232811670285;696.0288610830321;698.0346397500252;700.040164917009;702.0463531670393;704.0519692079979;706.0571577080409,754.0595185830025
